"columnDiameterM","compartmentHeightM","hcToColumn","rotorDiameterM","rotorToColumn","freeArea","runs","longestWindow","rejectionReasons"
"0.6","0.12","0.2","0.198","0.33","0.3","[[30]]","{""rpmMin"":30,""rpmMax"":30,""widthRpm"":0,""validTrialCount"":1,""edgeMarginRpm"":0}","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":34,""NO_DILUTE_CONNECTED_ROOT"":33}"
"0.6","0.12","0.2","0.198","0.33","0.4","[[30]]","{""rpmMin"":30,""rpmMax"":30,""widthRpm"":0,""validTrialCount"":1,""edgeMarginRpm"":0}","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":34,""NO_DILUTE_CONNECTED_ROOT"":33}"
"0.6","0.12","0.2","0.24","0.4","0.2","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.12","0.2","0.24","0.4","0.3","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.12","0.2","0.24","0.4","0.4","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.12","0.2","0.3","0.5","0.2","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.12","0.2","0.3","0.5","0.3","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.12","0.2","0.3","0.5","0.4","[]","","{""NO_DILUTE_CONNECTED_ROOT"":35,""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":35}"
"0.6","0.15","0.25","0.198","0.33","0.2","[[30]]","{""rpmMin"":30,""rpmMax"":30,""widthRpm"":0,""validTrialCount"":1,""edgeMarginRpm"":0}","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":34,""NO_DILUTE_CONNECTED_ROOT"":33}"
"0.6","0.15","0.25","0.198","0.33","0.3","[[30]]","{""rpmMin"":30,""rpmMax"":30,""widthRpm"":0,""validTrialCount"":1,""edgeMarginRpm"":0}","{""ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION"":34,""NO_DILUTE_CONNECTED_ROOT"":33}"
