segment,atom,element,hb_class,area_square_angstrom,charge_electron,raw_sigma_e_per_square_angstrom,cpcmx_averaged_sigma,cpcmx_pre_probability_partition,nist_hsieh_averaged_sigma,nist_pre_probability_partition,nist_left_bin,nist_right_bin,nist_left_area_weight,nist_right_area_weight
58,1,C,NHB,0.604526425000,0.001215658000,0.002010926155958,0.001842171466150,NHB,0.001881333218790,NHB,0.001,0.002,0.118666781210369,0.881333218789631
59,1,C,NHB,0.604526425000,0.001086723000,0.001797643502515,0.001782959948756,NHB,0.001668819373534,NHB,0.001,0.002,0.331180626466078,0.668819373533922
60,1,C,NHB,0.604526425000,0.001060450000,0.001754183036746,0.001853359052262,NHB,0.001852442486922,NHB,0.001,0.002,0.147557513077613,0.852442486922387
61,1,C,NHB,0.610796623000,0.000974029000,0.001594686288893,0.001891574684009,NHB,0.001560743100575,NHB,0.001,0.002,0.439256899424948,0.560743100575052
62,1,C,NHB,0.610796623000,0.001155570000,0.001891906334263,0.001792746549490,NHB,0.001681318350973,NHB,0.001,0.002,0.318681649027445,0.681318350972555
63,1,C,NHB,0.610796623000,0.000946132000,0.001549013148359,0.001603169690370,NHB,0.001584489780843,NHB,0.001,0.002,0.415510219156873,0.584489780843127
64,1,C,NHB,0.610796623000,0.001378834000,0.002257435532678,0.002077103814587,NHB,0.001812778327365,NHB,0.001,0.002,0.187221672634543,0.812778327365457
65,1,C,NHB,0.610796623000,0.000604559000,0.000989787725136,0.002282074617973,NHB,0.002038671378917,NHB,0.002,0.003,0.961328621083216,0.038671378916784
66,1,C,NHB,0.610796623000,0.000238275000,0.000390105300238,0.000216472480500,NHB,0.000292332885661,NHB,0.000,0.001,0.707667114339033,0.292332885660967
67,1,C,NHB,0.610796623000,0.000909869000,0.001489643141003,0.001780420828024,NHB,0.001726268257926,NHB,0.001,0.002,0.273731742074083,0.726268257925917
68,1,C,NHB,0.610796623000,0.000068053000,0.000111416791510,-0.000437286676368,NHB,-0.000387296852902,NHB,-0.001,0.000,0.387296852902484,0.612703147097516
69,1,C,NHB,0.610796623000,0.001289950000,0.002111914099433,0.001822659504105,NHB,0.001824502723173,NHB,0.001,0.002,0.175497276827114,0.824502723172886
70,1,C,NHB,0.610796623000,0.001220577000,0.001998336195778,0.001814387040542,NHB,0.001782550270920,NHB,0.001,0.002,0.217449729080266,0.782550270919734
71,1,C,NHB,0.610796623000,0.000872545000,0.001428536057902,0.001091141563635,NHB,0.000783976661392,NHB,0.000,0.001,0.216023338607912,0.783976661392088
72,1,C,NHB,0.610796623000,0.000854734000,0.001399375778802,0.001597560151472,NHB,0.001491548339039,NHB,0.001,0.002,0.508451660961191,0.491548339038809
73,1,C,NHB,0.610796623000,0.000530532000,0.000868590263964,0.000563314471927,NHB,-0.000218351930399,NHB,-0.001,0.000,0.218351930398921,0.781648069601079
74,1,C,NHB,0.610796623000,0.000657563000,0.001076566200989,0.001419587675611,NHB,0.001292962991102,NHB,0.001,0.002,0.707037008898217,0.292962991101783
75,1,C,NHB,0.610796623000,0.000219212000,0.000358895239013,0.000394725213397,NHB,-0.000235155036876,NHB,-0.001,0.000,0.235155036876123,0.764844963123877
76,1,C,NHB,0.610796623000,0.000655679000,0.001073481704564,0.001471272681180,NHB,0.001640296931530,NHB,0.001,0.002,0.359703068470178,0.640296931529822
77,1,C,NHB,0.610796623000,0.000034591000,0.000056632598638,-0.000028900999696,NHB,-0.001172144872850,NHB,-0.002,-0.001,0.172144872849998,0.827855127150002
78,1,C,NHB,0.610796623000,0.001135166000,0.001858500779563,0.001195987802074,NHB,0.001355901642231,NHB,0.001,0.002,0.644098357768953,0.355901642231047
79,2,N,OT,0.236199696000,-0.000026639000,-0.000112781686222,0.000289077732513,OT,0.000409978273801,OT,0.000,0.001,0.590021726199049,0.409978273800951
80,2,N,OT,0.236199696000,-0.000326335000,-0.001381606350586,-0.000165084456650,NHB,-0.000093719361434,NHB,-0.001,0.000,0.093719361434427,0.906280638565573
81,2,N,OT,0.604261852000,0.000050565000,0.000083680609379,0.001230723208755,OT,0.001522585129927,OT,0.001,0.002,0.477414870073406,0.522585129926594
82,2,N,OT,0.604261852000,-0.000059849000,-0.000099044809468,0.000963487936197,OT,0.001227611140545,OT,0.001,0.002,0.772388859455268,0.227611140544732
83,2,N,OT,0.506654336000,-0.000039625000,-0.000078209140206,0.000202877362476,OT,0.000309283410966,OT,0.000,0.001,0.690716589033592,0.309283410966408
84,2,N,OT,0.506654336000,-0.000328590000,-0.000648548678364,0.000124528786490,OT,0.000099293073221,OT,0.000,0.001,0.900706926778908,0.099293073221092
85,2,N,OT,0.506654336000,-0.000063631000,-0.000125590556478,0.000598633981025,OT,0.000743258180898,OT,0.000,0.001,0.256741819102050,0.743258180897950
86,2,N,OT,0.506654336000,-0.000138873000,-0.000274098118051,0.000530712222101,OT,0.000622645744038,OT,0.000,0.001,0.377354255962368,0.622645744037632
87,2,N,OT,0.506654336000,-0.000838238000,-0.001654457369531,-0.000524233245916,NHB,-0.000440272718428,NHB,-0.001,0.000,0.440272718428286,0.559727281571714
