Temperature °C,NT,Stage,Phase,SAT wt%,MONO wt%,DI wt%,POLY wt%,PA wt%,NMP wt%,Trial classification
25.0,10,8,Raffinate,91.27075683,1.55761953,0.70509146,0.21912969,0.01089500,6.23650749,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,8,Extract,4.48295534,1.54365758,0.80950363,0.28404225,0.02706976,92.85277145,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,9,Raffinate,92.18736305,1.07380132,0.47672797,0.14212015,0.00505634,6.11493116,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,9,Extract,4.37146826,1.05609621,0.54952748,0.18511695,0.01268589,93.82510522,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,10,Raffinate,93.11879073,0.56390373,0.24631264,0.07501442,0.00184622,5.99413227,RESEARCH DIAGNOSTIC — NOT ACCEPTED
25.0,10,10,Extract,4.26186880,0.55040493,0.28520245,0.09823026,0.00467940,94.79961417,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,1,1,Raffinate,83.04100994,3.33352517,1.93139498,0.90304387,0.60657060,10.18445546,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,1,1,Extract,7.90862201,4.02138317,2.27243180,1.19645533,1.48150480,83.11960288,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,2,1,Raffinate,81.01088683,4.07986627,2.45102746,1.14396385,0.74049251,10.57376308,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,2,1,Extract,8.44476310,5.12478831,2.89579619,1.51725746,1.78008146,80.23731347,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,2,2,Raffinate,86.43035418,2.02922826,1.19707328,0.51885437,0.21691367,9.60757624,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,2,2,Extract,7.18543035,2.31388674,1.40858446,0.69090689,0.54714982,87.85404174,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,1,Raffinate,80.12668398,4.39571800,2.69382293,1.25166692,0.77888277,10.75322540,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,1,Extract,8.71026655,5.63315708,3.19232537,1.66284387,1.86121482,78.94019230,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,2,Raffinate,84.68307381,2.72026415,1.67422228,0.72019295,0.27769715,9.92454965,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,2,Extract,7.55759446,3.18408850,1.96967758,0.95652417,0.68951585,85.64259945,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,3,Raffinate,88.14799492,1.33577703,0.79537946,0.31734052,0.07830832,9.32519975,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,3,3,Extract,6.86340003,1.48690535,0.93777697,0.42440049,0.20094245,90.08657471,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,1,Raffinate,79.65948849,4.56110792,2.83005921,1.30848961,0.78922950,10.85162526,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,1,Extract,8.86096336,5.91151992,3.36044293,1.74049723,1.88059816,78.24597840,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,2,Raffinate,83.78056294,3.06660939,1.93493350,0.82449946,0.29687463,10.09652008,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,2,Extract,7.76677056,3.64140724,2.27763729,1.09425985,0.73149016,84.48843489,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,3,Raffinate,86.77965282,1.90567041,1.18116032,0.46513786,0.10239749,9.56598109,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,3,Extract,7.13042488,2.16131206,1.39103892,0.62023406,0.25942577,88.43756432,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,4,Raffinate,89.12323961,0.92853614,0.55232814,0.20158962,0.02825378,9.16605270,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,4,4,Extract,6.68908066,1.02043175,0.65217254,0.27034035,0.07320815,91.29476654,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,1,Raffinate,79.38281373,4.65897100,2.91466911,1.34117276,0.79096499,10.91140841,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,1,Extract,8.95426187,6.08055371,3.46548893,1.78554060,1.88180868,77.83234620,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,2,Raffinate,83.25236623,3.26652770,2.09427450,0.88399964,0.30254141,10.20029052,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,2,Extract,7.89554603,3.91276712,2.46654849,1.17298305,0.74223497,83.80992034,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,3,Raffinate,85.99085505,2.22565572,1.41387932,0.54891577,0.11043290,9.71026124,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,3,Extract,7.29404193,2.55254917,1.66463549,0.73096516,0.27780271,87.48000554,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,4,Raffinate,88.07097589,1.38476299,0.85328065,0.30580635,0.03730926,9.34786486,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,4,Extract,6.88517721,1.54313600,1.00626388,0.40903302,0.09571464,90.06067526,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,5,Raffinate,89.72411723,0.67143309,0.39513352,0.13118936,0.01015733,9.06796947,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,5,5,Extract,6.58394300,0.73225238,0.46702497,0.17623971,0.02647512,92.01406482,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,1,Raffinate,79.20635093,4.72164693,2.97062248,1.36090210,0.79024935,10.95022821,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,1,Extract,9.01557798,6.19059167,3.53522748,1.81293948,1.87835111,77.56731227,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,2,Raffinate,82.91777350,3.39260021,2.19858023,0.91984678,0.30380833,10.26739097,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,2,Extract,7.97986333,4.08689222,2.59054117,1.22050017,0.74335720,83.37884590,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,3,Raffinate,85.49558860,2.42406354,1.56493037,0.59929803,0.11298919,9.80313026,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,3,Extract,7.40085046,2.80014412,1.84242127,0.79749700,0.28299634,86.87609081,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,4,Raffinate,87.41718770,1.66238441,1.04730355,0.36839504,0.04043346,9.46429584,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,4,Extract,7.01271531,1.86897162,1.23438556,0.49205582,0.10310484,89.28876684,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,5,Raffinate,88.91471966,1.03473952,0.62728748,0.20353811,0.01347567,9.20623957,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,5,Extract,6.73069922,1.14050973,0.74057167,0.27284225,0.03485416,91.08052297,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,6,Raffinate,90.11717111,0.50010145,0.28863507,0.08673568,0.00363667,9.00372001,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,6,6,Extract,6.51595358,0.54271322,0.34138127,0.11665697,0.00951559,92.47377937,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,1,Raffinate,79.08791846,4.76408053,3.00919740,1.37313911,0.78903835,10.97662616,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,1,Extract,9.05764925,6.26590992,3.58344305,1.83007060,1.87435281,77.38857438,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,2,Raffinate,82.69413581,3.47707597,2.27001033,0.94214302,0.30372625,10.31290861,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,2,Extract,8.03755155,4.20492523,2.67562172,1.25010669,0.74185807,83.08993674,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,3,Raffinate,85.16635185,2.55553423,1.66779030,0.63068653,0.11368889,9.86594819,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,3,Extract,7.47378106,2.96644853,1.96361616,0.83892926,0.28393732,86.47328767,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,4,Raffinate,86.98536367,1.84411976,1.17881842,0.40742617,0.04148242,9.54278956,RESEARCH DIAGNOSTIC — NOT ACCEPTED
50.0,7,4,Extract,7.09959170,2.08568495,1.38901979,0.54373350,0.10536490,88.77660516,RESEARCH DIAGNOSTIC — NOT ACCEPTED
